,Company,New Filing?,Reported funding,Incremental Cash ,Date,New or Amended
0,"FDS Nolensville Holdings, LLC  (Commercial - Arlington, VA)",Yes,"$3,772,426","$3,772,426",2019-02-13,New Filing
1,"PH Group Parent Corp.  (Business Services - Arlington, VA)",Yes,"$18,729,702","$18,729,702",2019-02-13,New Filing
2,"Monsoon India Dynamic Alpha Fund, L.P.  (Pooled Investment Fund - Bethesda, MD)",No,"$20,391,555","$4,816,355",2019-02-12,Amended
3,"Remine Inc.  (Other Technology - Fairfax, VA)",Yes,"$29,683,058","$29,683,058",2019-02-12,New Filing
4,"Nisos Holdings Inc.  (Other Technology - Alexandria, VA)",Yes,"$6,100,000","$6,100,000",2019-02-12,New Filing
5,"HostMe Ltd Liability Co  (Other Technology - Washington, DC)",Yes,"$699,941","$699,941",2019-02-11,New Filing
6,"HP Dulles CS Investors, LLC  (Commercial - Arlington, VA)",Yes,"$1,250,000","$1,250,000",2019-02-11,New Filing
7,"POWERUP TECHNOLOGY INC.  (Other Banking and Financial Services - Vienna, VA)",Yes,"$5,557,000","$5,557,000",2019-02-11,New Filing
8,"Verte Capital, LLC  (Pooled Investment Fund - Brookeville, MD)",No,"$190,000","$25,000",2019-02-07,Amended
9,"Magnolia Estates MHP, LLC  (Other Real Estate - Washington, DC)",Yes,"$609,000","$609,000",2019-02-06,New Filing
10,"Shoals Financials Opportunity Fund, LP  (Pooled Investment Fund - Arlington, VA)",No,"$149,743,000","$139,468,000",2019-02-06,Amended
11,"Hivers & Strivers Co-Investment Fund IB, L.P.  (Pooled Investment Fund - Great Falls, VA)",Yes,Yet to Sell,$0,2019-02-05,New Filing
12,"1776 Bananas, LLC  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2019-02-04,New Filing
13,"North Bay Prosperity Fund, LP  (Pooled Investment Fund - Washington, DC)",No,"$5,075,000","$5,075,000",2019-02-04,Amended
14,"Altmore Credit I, LLC  (Commercial - Tysons, VA)",Yes,Yet to Sell,$0,2019-02-04,New Filing
15,"BlackBoiler, LLC  (Other Technology - Arlington, VA)",Yes,"$325,000","$325,000",2019-02-01,New Filing
16,"CoJax Oil & Gas Corp  (Oil and Gas - Arlington, VA)",Yes,$2,$2,2019-02-01,New Filing
17,"TMG Solutions Plaza REIT 4, L.L.C.  (REITS and Finance - Bethesda, MD)",Yes,"$125,000","$125,000",2019-02-01,New Filing
18,"TMG 2500 Wilson Boulevard REIT, L.L.C.  (REITS and Finance - Bethesda, MD)",Yes,"$125,000","$125,000",2019-02-01,New Filing
19,"TMG 1333 New Hampshire REIT, L.L.C.  (REITS and Finance - Bethesda, MD)",Yes,"$125,000","$125,000",2019-02-01,New Filing
20,"TMG 8280 Greensboro REIT, L.L.C.  (REITS and Finance - Bethesda, MD)",Yes,"$125,000","$125,000",2019-02-01,New Filing
21,"Halcyon Fund, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,"$2,870,000","$2,870,000",2019-02-01,New Filing
22,"MicroVest EDF LP  (Pooled Investment Fund - Bethesda, MD)",No,"$12,309,402",$0,2019-01-31,Amended
23,"MicroVest Short Duration Fund, LP  (Pooled Investment Fund - Bethesda, MD)",No,"$202,550,110","$7,984,905",2019-01-31,Amended
24,"Shuttle Pharmaceuticals Holdings, Inc.  (Pharmaceuticals - Rockville, MD)",Yes,"$912,500","$912,500",2019-01-31,New Filing
25,"Union Global, Inc. PBC  (Other - Washington, DC)",Yes,"$1,867,030","$1,867,030",2019-01-31,New Filing
26,"Edge Systems Technologies, LLC  (Other - Washington, DC)",No,"$715,000","$689,998",2019-01-30,Amended
27,"Flour Mill Fund, Ltd.  (Pooled Investment Fund - Washington, DC)",No,"$20,000,000",$0,2019-01-29,Amended
28,"1788/Riverside Business Center, LLC  (Commercial - Bethesda, MD)",Yes,"$3,835,000","$3,835,000",2019-01-28,New Filing
29,"1788/CAP 10 Investors, LLC  (Commercial - Bethesda, MD)",Yes,"$5,600,000","$5,600,000",2019-01-28,New Filing
30,"Ategra Community Financial Institution Fund, LP  (Pooled Investment Fund - Vienna, VA)",No,"$36,945,546","$5,550,000",2019-01-28,Amended
31,"PreciseTarget, Inc.  (Other Technology - Bethesda, MD)",Yes,"$8,279,288","$8,279,288",2019-01-25,New Filing
32,"ExecVision, Inc.  (Other Technology - Arlington, VA)",Yes,"$5,863,052","$5,863,052",2019-01-25,New Filing
33,"Verte Capital, LLC  (Pooled Investment Fund - Brookeville, MD)",No,"$65,000","$25,000",2019-01-25,Amended
34,"CP MA REIT LLC  (REITS and Finance - Washington, DC)",Yes,"$125,000","$125,000",2019-01-25,New Filing
35,"Bells & Bear LLC  (Pooled Investment Fund - Reston, VA)",Yes,"$669,900","$669,900",2019-01-24,New Filing
36,"Verte Capital, LLC  (Pooled Investment Fund - Brookeville, MD)",No,"$270,700","$140,700",2019-01-24,Amended
37,"Carlyle Global Partners II, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2019-01-23,New Filing
38,"57 Stars Global Opportunity Fund 5 - NextGen Mobility Fund, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,"$12,000,000","$12,000,000",2019-01-23,New Filing
39,"Verte Capital, LLC  (Pooled Investment Fund - Brookeville, MD)",Yes,"$8,000","$8,000",2019-01-23,New Filing
40,"Verte Capital, LLC  (Pooled Investment Fund - Brookeville, MD)",Yes,"$25,000","$25,000",2019-01-23,New Filing
